Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
Allahabad Bank,IL&FS LTD,Uttar Pradesh,Lucknow,Lucknow,226023,M,4,0,1,0,1
Allahabad Bank,IL&FS LTD,Uttar Pradesh,Lucknow,Lucknow,227105,M,20,1,0,0,1
Allahabad Bank,Tera Software Ltd,Jharkhand,Ranchi,Ranchi,834001,F,4,0,1,0,1
Allahabad Bank,Vakrangee Softwares Limited,Gujarat,Surat,Chorasi,395001,M,29,1,0,0,1
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Karjat,414401,F,17,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Karjat,414402,M,11,1,0,0,1
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Kopargaon,423601,M,49,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Kopargaon,423603,F,19,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Kopargaon,423603,M,1,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Kopargaon,423605,M,65,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Nagar,414005,F,7,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Nevasa,414105,M,22,1,0,0,1
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Nevasa,414603,F,35,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Nevasa,414603,F,37,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Nevasa,414603,M,16,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Nevasa,414603,M,24,0,1,0,1
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,413714,M,16,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,413736,M,10,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,423109,M,19,1,0,0,1
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413704,F,58,1,0,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Shrirampur,413709,M,14,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Shrirampur,413709,M,20,1,0,0,1
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Rahta,413720,M,32,0,1,0,0
Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Rahta,413720,M,60,0,1,0,0
